"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
380             , 3
382             , 3
384             , 3
386             , 3
388             , 3
390             , 3
392             , 3
394             , 3
396             , 3
398             , 3
400             , 3
402             , 3
404             , 3
406             , 3
408             , 3
410             , 3
412             , 3
414             , 3
416             , 3
418             , 3
420             , 3
422             , 3
424             , 3
426             , 3
428             , 3
430             , 3
432             , 3
434             , 3
436             , 3
438             , 3
440             , 3
442             , 3
444             , 3
446             , 3
448             , 3
450             , 3
452             , 3
454             , 3
456             , 3
458             , 3
460             , 3
462             , 3
464             , 3
466             , 3
468             , 3
470             , 3
472             , 3
474             , 3
476             , 3
478             , 3
480             , 3
482             , 3
484             , 3
486             , 3
488             , 3
490             , 3
492             , 3
494             , 3
496             , 3
498             , 3
500             , 3
502             , 3
504             , 3
506             , 3
508             , 3
510             , 3
512             , 3
514             , 3
516             , 3
518             , 3
520             , 3
522             , 3
524             , 3
526             , 3
528             , 3
530             , 3
532             , 3
534             , 3
536             , 3
538             , 3
540             , 3
542             , 3
544             , 3
546             , 3
548             , 3
550             , 3
552             , 3
554             , 2.45808480506
556             , 2.1366420341
558             , 1.85979045617
560             , 1.61974576059
562             , 1.38779507775
564             , 1.16784738506
566             , 0.966409914694
568             , 0.767691160974
570             , 0.616168228376
572             , 0.489477803384
574             , 0.377919208529
576             , 0.298513304296
578             , 0.23654393736
580             , 0.186434733754
582             , 0.146928420923
584             , 0.12461855476
586             , 0.0977362813344
588             , 0.0812333038659
590             , 0.0685869695719
592             , 0.0576546767472
594             , 0.0509104466209
596             , 0.0434197517688
598             , 0.0406563423608
600             , 0.0351959840169
602             , 0.0327329494812
604             , 0.0297922690031
606             , 0.0278767932214
608             , 0.0261797436463
610             , 0.0250043254342
612             , 0.0239910300541
614             , 0.023576502911
616             , 0.0225155042383
618             , 0.0220716498809
620             , 0.0218772430571
622             , 0.0222683619012
624             , 0.0219833594117
626             , 0.0208916957373
628             , 0.0205431433573
630             , 0.0214122306203
632             , 0.0206094997311
634             , 0.0201684704677
636             , 0.020949602019
638             , 0.0221229433279
640             , 0.0212435332361
642             , 0.020659082736
644             , 0.0213773862238
646             , 0.021385393924
648             , 0.0211884673485
650             , 0.0205893256372
652             , 0.0207749585105
654             , 0.0211652927625
656             , 0.0210472085786
658             , 0.0212450136299
660             , 0.0207429703316
662             , 0.0193908697412
664             , 0.0214559268187
666             , 0.0225049257213
668             , 0.0194289547346
670             , 0.0204254936774
672             , 0.0208533774047
674             , 0.0212919810154
676             , 0.0206155466712
678             , 0.021448692906
680             , 0.021332357015
682             , 0.0208865343265
684             , 0.0218215707022
686             , 0.0220372624312
