"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
380             , 3
382             , 3
384             , 3
386             , 3
388             , 3
390             , 3
392             , 3
394             , 3
396             , 3
398             , 3
400             , 3
402             , 3
404             , 3
406             , 3
408             , 3
410             , 3
412             , 3
414             , 3
416             , 3
418             , 3
420             , 3
422             , 3
424             , 3
426             , 3
428             , 3
430             , 3
432             , 3
434             , 3
436             , 3
438             , 3
440             , 3
442             , 3
444             , 3
446             , 3
448             , 3
450             , 3
452             , 3
454             , 3
456             , 3
458             , 3
460             , 3
462             , 3
464             , 3
466             , 3
468             , 3
470             , 3
472             , 3
474             , 3
476             , 3
478             , 3
480             , 3
482             , 3
484             , 3
486             , 3
488             , 3
490             , 3
492             , 3
494             , 3
496             , 3
498             , 3
500             , 3
502             , 3
504             , 3
506             , 3
508             , 3
510             , 3
512             , 3
514             , 3
516             , 3
518             , 3
520             , 3
522             , 3
524             , 3
526             , 3
528             , 3
530             , 3
532             , 3
534             , 3
536             , 3
538             , 3
540             , 3
542             , 3
544             , 3
546             , 3
548             , 3
550             , 3
552             , 3
554             , 3
556             , 3
558             , 3
560             , 3
562             , 3
564             , 3
566             , 3
568             , 3
570             , 3
572             , 3
574             , 3
576             , 3
578             , 3
580             , 3
582             , 3
584             , 3
586             , 2.85443960705
588             , 2.53582755322
590             , 2.34933115383
592             , 2.15473072627
594             , 1.97197469033
596             , 1.75410040027
598             , 1.58193580001
600             , 1.37765376617
602             , 1.17364390053
604             , 1.00610888373
606             , 0.844426762348
608             , 0.690261405596
610             , 0.556456664388
612             , 0.454688872817
614             , 0.370141716007
616             , 0.295141495061
618             , 0.236540994953
620             , 0.193341303371
622             , 0.15989835759
624             , 0.130251270541
626             , 0.107277572902
628             , 0.0903170626008
630             , 0.0787516409502
632             , 0.0667647485861
634             , 0.057433914509
636             , 0.0511032650453
638             , 0.0461861838845
640             , 0.0423319418011
642             , 0.0370247067746
644             , 0.0350307117394
646             , 0.0324484739995
648             , 0.030286071277
650             , 0.0294513897407
652             , 0.0267768818053
654             , 0.0265153983101
656             , 0.0255932116316
658             , 0.0241649135541
660             , 0.0242555766606
662             , 0.0217775579917
664             , 0.023193428721
666             , 0.0235341912604
668             , 0.0215126304874
670             , 0.020483746452
672             , 0.02123547381
674             , 0.0214935254536
676             , 0.0208848177727
678             , 0.0202111563489
680             , 0.0207257940815
682             , 0.0201308799437
684             , 0.0200973785512
686             , 0.0206446028063
688             , 0.0196425222228
690             , 0.0198336979707
692             , 0.0198741035267
694             , 0.0199781012488
696             , 0.0205566871327
698             , 0.0207856253581
700             , 0.0207483699243
702             , 0.0196465214744
