lambda , cervene         , modre           , tm_cervene      , zelene         , zlute
380    , 3               , 0.187398302718  , 3               , 3              , 3
382    , 3               , 0.139110605098  , 3               , 3              , 3
384    , 3               , 0.100562965139  , 3               , 3              , 3
386    , 3               , 0.0872754102212 , 3               , 3              , 3
388    , 3               , 0.0757508890879 , 3               , 3              , 3
390    , 3               , 0.0521240027073 , 3               , 3              , 3
392    , 3               , 0.0527294542652 , 3               , 3              , 3
394    , 3               , 0.0515877798924 , 3               , 3              , 3
396    , 3               , 0.0412907594904 , 3               , 3              , 3
398    , 3               , 0.0434977730025 , 3               , 3              , 3
400    , 3               , 0.0418187778149 , 3               , 3              , 3
402    , 3               , 0.0385655301583 , 3               , 3              , 3
404    , 3               , 0.043418578647  , 3               , 3              , 3
406    , 3               , 0.0374299697365 , 3               , 3              , 3
408    , 3               , 0.0378733599869 , 3               , 3              , 3
410    , 3               , 0.0385117070794 , 3               , 3              , 3
412    , 3               , 0.0389228151331 , 3               , 3              , 3
414    , 3               , 0.0401137776432 , 3               , 3              , 3
416    , 3               , 0.0443033735718 , 3               , 3              , 3
418    , 3               , 0.0443039622288 , 3               , 3              , 3
420    , 3               , 0.0442157557123 , 3               , 3              , 3
422    , 3               , 0.0444309072173 , 3               , 3              , 3
424    , 3               , 0.0448045935511 , 3               , 3              , 3
426    , 3               , 0.0489762580334 , 3               , 3              , 3
428    , 3               , 0.0470341424752 , 3               , 3              , 3
430    , 3               , 0.0530182590499 , 3               , 3              , 3
432    , 3               , 0.0574548694287 , 3               , 3              , 3
434    , 3               , 0.0558152145105 , 3               , 3              , 3
436    , 3               , 0.0623371429202 , 3               , 3              , 3
438    , 3               , 0.0645051714441 , 3               , 3              , 3
440    , 3               , 0.0663759448635 , 3               , 3              , 3
442    , 3               , 0.0697364961335 , 3               , 3              , 3
444    , 3               , 0.0726137079773 , 3               , 3              , 3
446    , 3               , 0.0786490768535 , 3               , 3              , 3
448    , 3               , 0.0801644912514 , 3               , 3              , 3
450    , 3               , 0.0846198475644 , 3               , 3              , 3
452    , 3               , 0.0926687638609 , 3               , 2.86305612997  , 3
454    , 3               , 0.0943884638165 , 3               , 2.44807719486  , 3
456    , 3               , 0.104997831538  , 3               , 2.13325271772  , 3
458    , 3               , 0.110176414303  , 3               , 1.92973132884  , 3
460    , 3               , 0.115488110545  , 3               , 1.77041371518  , 2.92399622593
462    , 3               , 0.126674217756  , 3               , 1.64302659682  , 2.47123472316
464    , 3               , 0.136587782011  , 3               , 1.51917830158  , 2.20719278362
466    , 3               , 0.143683871669  , 3               , 1.41969148704  , 1.93898694631
468    , 3               , 0.158043259082  , 3               , 1.34453325946  , 1.74672514044
470    , 3               , 0.168484835868  , 3               , 1.25778747093  , 1.5460726006
472    , 3               , 0.185021038563  , 3               , 1.19926447258  , 1.37551562391
474    , 3               , 0.193852530435  , 3               , 1.13111338459  , 1.19369864831
476    , 3               , 0.212162830654  , 3               , 1.07499703691  , 1.02391271105
478    , 3               , 0.227687323572  , 3               , 1.02260800535  , 0.853798760042
480    , 3               , 0.243918483868  , 3               , 0.971905767894 , 0.689735909419
482    , 3               , 0.260662112821  , 3               , 0.924017370919 , 0.547673094758
484    , 3               , 0.278589144906  , 3               , 0.891900765757 , 0.434201085123
486    , 3               , 0.294802868445  , 3               , 0.851449157561 , 0.343049828778
488    , 3               , 0.314208324676  , 3               , 0.823701641286 , 0.282453205524
490    , 3               , 0.332932242548  , 3               , 0.793372211337 , 0.238355544949
492    , 3               , 0.351575492199  , 3               , 0.767509196519 , 0.207922409637
494    , 3               , 0.368091707414  , 3               , 0.744729445777 , 0.186961461651
496    , 3               , 0.385437556564  , 3               , 0.723731381698 , 0.170476260027
498    , 3               , 0.399222113215  , 3               , 0.699351218128 , 0.157998440564
500    , 3               , 0.416916050687  , 3               , 0.680052632123 , 0.14930701197
502    , 3               , 0.436102466314  , 3               , 0.666600253006 , 0.141006297547
504    , 3               , 0.455322223719  , 3               , 0.649702226262 , 0.13308554612
506    , 3               , 0.476947863878  , 3               , 0.64495274079  , 0.12742835577
508    , 3               , 0.501876177003  , 3               , 0.634373633175 , 0.118908605688
510    , 3               , 0.52129939236   , 3               , 0.627861353954 , 0.115584304807
512    , 3               , 0.541582647928  , 3               , 0.622167067688 , 0.10939799308
514    , 3               , 0.561059090085  , 3               , 0.619727567402 , 0.103266804765
516    , 3               , 0.580919655056  , 3               , 0.618571775972 , 0.100200807477
518    , 3               , 0.599336029439  , 3               , 0.614630906262 , 0.0955588741033
520    , 3               , 0.620284238584  , 3               , 0.614745813627 , 0.0916831538221
522    , 3               , 0.634737082036  , 3               , 0.616614626282 , 0.086789667019
524    , 3               , 0.655476536372  , 3               , 0.620527427845 , 0.0828732651959
526    , 3               , 0.671214668683  , 3               , 0.619158961434 , 0.0790729266943
528    , 3               , 0.68145430833   , 3               , 0.622686432769 , 0.0768531356789
530    , 3               , 0.693498039185  , 3               , 0.624651500538 , 0.0728329668538
532    , 3               , 0.698674816188  , 3               , 0.626172028232 , 0.0700442209577
534    , 3               , 0.701561258433  , 3               , 0.625708110984 , 0.0661451649174
536    , 3               , 0.697814159127  , 3               , 0.62499246031  , 0.0633059993482
538    , 3               , 0.690418964345  , 3               , 0.622625872868 , 0.0605170540147
540    , 3               , 0.681143293716  , 3               , 0.620786877123 , 0.0575132815633
542    , 3               , 0.667900922149  , 3               , 0.622241630282 , 0.0546468106701
544    , 3               , 0.653526327887  , 3               , 0.617820189575 , 0.0517065456637
546    , 3               , 0.637200721403  , 3               , 0.615159518681 , 0.0510938988763
548    , 3               , 0.622058237111  , 3               , 0.613624008729 , 0.0472101455106
550    , 3               , 0.605911570162  , 3               , 0.611574497534 , 0.0458903456597
552    , 3               , 0.592770496803  , 3               , 0.615647365219 , 0.0432422313279
554    , 2.45808480506   , 0.581062924474  , 3               , 0.619072685907 , 0.0403164916887
556    , 2.1366420341    , 0.577878549693  , 3               , 0.628248665102 , 0.0395548439382
558    , 1.85979045617   , 0.578632242923  , 3               , 0.638787520406 , 0.0370273511586
560    , 1.61974576059   , 0.584994358697  , 3               , 0.653794456318 , 0.0357103807859
562    , 1.38779507775   , 0.597012471123  , 3               , 0.671628237122 , 0.034772387547
564    , 1.16784738506   , 0.615898369327  , 3               , 0.691201672429 , 0.0326515823277
566    , 0.966409914694  , 0.635720651128  , 3               , 0.71791353083  , 0.0306523062517
568    , 0.767691160974  , 0.664479652903  , 3               , 0.749131048207 , 0.0295682867156
570    , 0.616168228376  , 0.694248319757  , 3               , 0.783375217291 , 0.0288960822044
572    , 0.489477803384  , 0.726994384837  , 3               , 0.818550595547 , 0.0272786608757
574    , 0.377919208529  , 0.768202619845  , 3               , 0.855081853037 , 0.0254691988597
576    , 0.298513304296  , 0.807785263693  , 3               , 0.894623104672 , 0.0248258833801
578    , 0.23654393736   , 0.853261067379  , 3               , 0.940365750655 , 0.0251020165818
580    , 0.186434733754  , 0.901198182337  , 3               , 0.988568374898 , 0.0244548528239
582    , 0.146928420923  , 0.943230655782  , 3               , 1.03105321971  , 0.0185476248347
584    , 0.12461855476   , 0.991086637521  , 3               , 1.07518960388  , 0.0239274190266
586    , 0.0977362813344 , 1.02591644409   , 2.85443960705   , 1.1221917569   , 0.0195829818972
588    , 0.0812333038659 , 1.06541103042   , 2.53582755322   , 1.16954472894  , 0.0196133171516
590    , 0.0685869695719 , 1.09205514466   , 2.34933115383   , 1.20531103427  , 0.0192102819104
592    , 0.0576546767472 , 1.10643305019   , 2.15473072627   , 1.23395990048  , 0.0170024897238
594    , 0.0509104466209 , 1.11224407992   , 1.97197469033   , 1.26685986155  , 0.0172780723833
596    , 0.0434197517688 , 1.10549511097   , 1.75410040027   , 1.28369874999  , 0.016726883679
598    , 0.0406563423608 , 1.10287202215   , 1.58193580001   , 1.30734954587  , 0.0169276251572
600    , 0.0351959840169 , 1.09411638907   , 1.37765376617   , 1.3341858578   , 0.015605952983
602    , 0.0327329494812 , 1.08109258469   , 1.17364390053   , 1.35627464736  , 0.0150794178708
604    , 0.0297922690031 , 1.07595806316   , 1.00610888373   , 1.38212686197  , 0.0141717334298
606    , 0.0278767932214 , 1.07025331276   , 0.844426762348  , 1.38694684706  , 0.0138560931095
608    , 0.0261797436463 , 1.06778356171   , 0.690261405596  , 1.41847214677  , 0.012680430559
610    , 0.0250043254342 , 1.05638583193   , 0.556456664388  , 1.43690832524  , 0.0127035860365
612    , 0.0239910300541 , 1.05465951101   , 0.454688872817  , 1.46906857838  , 0.0129791738342
614    , 0.023576502911  , 1.05227428693   , 0.370141716007  , 1.49170531197  , 0.0130105043859
616    , 0.0225155042383 , 1.05476779436   , 0.295141495061  , 1.51059452746  , 0.0119526179992
618    , 0.0220716498809 , 1.05577832336   , 0.236540994953  , 1.54540972999  , 0.0122655898717
620    , 0.0218772430571 , 1.05755489004   , 0.193341303371  , 1.57059661806  , 0.0123544612189
622    , 0.0222683619012 , 1.0585446692    , 0.15989835759   , 1.59068791302  , 0.0116284778659
624    , 0.0219833594117 , 1.06385657036   , 0.130251270541  , 1.62337608042  , 0.0114873969465
626    , 0.0208916957373 , 1.07222288156   , 0.107277572902  , 1.649902279    , 0.0108244785076
628    , 0.0205431433573 , 1.07680655176   , 0.0903170626008 , 1.67179556407  , 0.0104464145151
630    , 0.0214122306203 , 1.08662386756   , 0.0787516409502 , 1.69882482233  , 0.0118542230459
632    , 0.0206094997311 , 1.0951850493    , 0.0667647485861 , 1.73167880674  , 0.0103133243665
634    , 0.0201684704677 , 1.10427982806   , 0.057433914509  , 1.76300610436  , 0.0103743372726
636    , 0.020949602019  , 1.11472208143   , 0.0511032650453 , 1.7900008761   , 0.0112284152597
638    , 0.0221229433279 , 1.11931613782   , 0.0461861838845 , 1.8164879446   , 0.0102525888141
640    , 0.0212435332361 , 1.12942273826   , 0.0423319418011 , 1.83872284563  , 0.0104495484361
642    , 0.020659082736  , 1.13730762167   , 0.0370247067746 , 1.83913898881  , 0.010028759775
644    , 0.0213773862238 , 1.13920385426   , 0.0350307117394 , 1.85399228588  , 0.0105476371237
646    , 0.021385393924  , 1.13850941092   , 0.0324484739995 , 1.8676194968   , 0.0110101194398
648    , 0.0211884673485 , 1.13836248361   , 0.030286071277  , 1.88944187689  , 0.0106484510405
650    , 0.0205893256372 , 1.13145751418   , 0.0294513897407 , 1.91663789703  , 0.0107644803695
652    , 0.0207749585105 , 1.12413587541   , 0.0267768818053 , 1.93111225829  , 0.0112087217486
654    , 0.0211652927625 , 1.10888120824   , 0.0265153983101 , 1.91776929662  , 0.0115596277329
656    , 0.0210472085786 , 1.09477822924   , 0.0255932116316 , 1.9202535189   , 0.0113831745698
658    , 0.0212450136299 , 1.07825630181   , 0.0241649135541 , 1.93692573659  , 0.0107622240452
660    , 0.0207429703316 , 1.05381702113   , 0.0242555766606 , 1.93697718832  , 0.0109296247891
662    , 0.0193908697412 , 1.02895289081   , 0.0217775579917 , 1.91981282287  , 0.00966796179808
664    , 0.0214559268187 , 1.00360954471   , 0.023193428721  , 1.90430068078  , 0.0120547718328
666    , 0.0225049257213 , 0.975136135809  , 0.0235341912604 , 1.89168478327  , 0.0134006777481
668    , 0.0194289547346 , 0.940534454789  , 0.0215126304874 , 1.88287306154  , 0.0112867244566
670    , 0.0204254936774 , 0.907418691099  , 0.020483746452  , 1.86638976655  , 0.0115174668983
672    , 0.0208533774047 , 0.870242841273  , 0.02123547381   , 1.84964852413  , 0.0124539610944
674    , 0.0212919810154 , 0.831719521256  , 0.0214935254536 , 1.828009737    , 0.0123938271046
676    , 0.0206155466712 , 0.791958202838  , 0.0208848177727 , 1.80946979537  , 0.0119891754616
678    , 0.021448692906  , 0.752027573095  , 0.0202111563489 , 1.79113207299  , 0.0121337556682
680    , 0.021332357015  , 0.711302017827  , 0.0207257940815 , 1.78125258674  , 0.0132827362809
682    , 0.0208865343265 , 0.67214657344   , 0.0201308799437 , 1.76915548514  , 0.013309743131
684    , 0.0218215707022 , 0.637183947     , 0.0200973785512 , 1.74722855134  , 0.0140898499547
686    , 0.0220372624312 , 0.601851362724  , 0.0206446028063 , 1.75297771935  , 0.0140384943263
688    , 0.0221102153567 , 0.56560870291   , 0.0196425222228 , 1.74052637154  , 0.0149958496652
690    , 0.0219306897673 , 0.534190767918  , 0.0198336979707 , 1.72032348486  , 0.0149418925433
692    , 0.0228179187864 , 0.504298719864  , 0.0198741035267 , 1.71229160156  , 0.0149324503896
694    , 0.0225465520315 , 0.478297873111  , 0.0199781012488 , 1.70538177583  , 0.015955893619
696    , 0.0230697413774 , 0.454670931557  , 0.0205566871327 , 1.69332076602  , 0.0167833123228
698    , 0.0238002513355 , 0.433908739208  , 0.0207856253581 , 1.66979685361  , 0.0166395815449
700    , 0.0235471940223 , 0.41507151769   , 0.0207483699243 , 1.66149831093  , 0.0169560252575
702    , 0.0229197129037 , 0.399568599769  , 0.0196465214744 , 1.65881364636  , 0.0164167333916
704    , 0.0237886045847 , 0.387570316285  , 0.0198892599925 , 1.64401967231  , 0.0170602977117
706    , 0.02408032321   , 0.376750877223  , 0.0210331268342 , 1.63825194713  , 0.017254011264
708    , 0.0243699076365 , 0.365392137514  , 0.0216603901664 , 1.62826062929  , 0.0174929505409
710    , 0.0245087939781 , 0.357691046772  , 0.0202596959655 , 1.61866785539  , 0.0169386468457
712    , 0.0250611324789 , 0.350776695832  , 0.0212969428671 , 1.613171001    , 0.0187342217068
714    , 0.0246352999732 , 0.345315054186  , 0.0209920213153 , 1.60733949704  , 0.0184474696689
716    , 0.0255539551773 , 0.340623801136  , 0.0214773626003 , 1.5953330998   , 0.018902020952
718    , 0.0248562200544 , 0.336666585838  , 0.0211242094045 , 1.58875304317  , 0.0182229336603
720    , 0.0258952292969 , 0.332447992186  , 0.0211075808434 , 1.5794227941   , 0.0199584410593
722    , 0.0237423386227 , 0.327165658367  , 0.0193615959177 , 1.5745331345   , 0.0181218444355
724    , 0.0266250414155 , 0.329716905546  , 0.0228285642834 , 1.57232889676  , 0.0214456312829
726    , 0.0264470051595 , 0.325522289871  , 0.0223403813883 , 1.56961191776  , 0.0197538840946
728    , 0.0251575190497 , 0.323364650731  , 0.0200980884594 , 1.56150347304  , 0.0196990915669
730    , 0.0264178626964 , 0.323159160832  , 0.020789042152  , 1.55512163198  , 0.0204083075648
732    , 0.0253478983375 , 0.321668336039  , 0.0205535508032 , 1.54504335109  , 0.0204210657356
734    , 0.0266398161048 , 0.322328859061  , 0.0222167923875 , 1.54797881152  , 0.0219004882919
736    , 0.0279454731574 , 0.322396195329  , 0.0226569265491 , 1.55233553585  , 0.0225261008716
738    , 0.0262449194256 , 0.320755361226  , 0.0205494802068 , 1.54784636224  , 0.0212366070385
740    , 0.0275330662347 , 0.32065335601   , 0.0218543983422 , 1.54135089037  , 0.0221343756261
742    , 0.0281004615886 , 0.320831742231  , 0.0224171309824 , 1.53233126202  , 0.0229589229343
744    , 0.02729630544   , 0.321469319131  , 0.0219186791963 , 1.52713362659  , 0.0224317306348
746    , 0.0275719661802 , 0.32086728688   , 0.0217661884393 , 1.51976576739  , 0.0229926505268
748    , 0.0285300898182 , 0.321401849459  , 0.0227264548624 , 1.52654273742  , 0.0233579723736
750    , 0.029086664206  , 0.321241768373  , 0.0224251648706 , 1.52012735808  , 0.0235914768432
752    , 0.0278366422564 , 0.321223678724  , 0.0223853887265 , 1.52156074531  , 0.0230077907874
754    , 0.0300102581868 , 0.323190950423  , 0.0236516033281 , 1.51762104885  , 0.0246380406821
