"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
380             , 3
382             , 3
384             , 3
386             , 3
388             , 3
390             , 3
392             , 3
394             , 3
396             , 3
398             , 3
400             , 3
402             , 3
404             , 3
406             , 3
408             , 3
410             , 3
412             , 3
414             , 3
416             , 3
418             , 3
420             , 3
422             , 3
424             , 3
426             , 3
428             , 3
430             , 3
432             , 3
434             , 3
436             , 3
438             , 3
440             , 3
442             , 3
444             , 3
446             , 3
448             , 3
450             , 3
452             , 3
454             , 3
456             , 3
458             , 3
460             , 2.92399622593
462             , 2.47123472316
464             , 2.20719278362
466             , 1.93898694631
468             , 1.74672514044
470             , 1.5460726006
472             , 1.37551562391
474             , 1.19369864831
476             , 1.02391271105
478             , 0.853798760042
480             , 0.689735909419
482             , 0.547673094758
484             , 0.434201085123
486             , 0.343049828778
488             , 0.282453205524
490             , 0.238355544949
492             , 0.207922409637
494             , 0.186961461651
496             , 0.170476260027
498             , 0.157998440564
500             , 0.14930701197
502             , 0.141006297547
504             , 0.13308554612
506             , 0.12742835577
508             , 0.118908605688
510             , 0.115584304807
512             , 0.10939799308
514             , 0.103266804765
516             , 0.100200807477
518             , 0.0955588741033
520             , 0.0916831538221
522             , 0.086789667019
524             , 0.0828732651959
526             , 0.0790729266943
528             , 0.0768531356789
530             , 0.0728329668538
532             , 0.0700442209577
534             , 0.0661451649174
536             , 0.0633059993482
538             , 0.0605170540147
540             , 0.0575132815633
542             , 0.0546468106701
544             , 0.0517065456637
546             , 0.0510938988763
548             , 0.0472101455106
550             , 0.0458903456597
552             , 0.0432422313279
554             , 0.0403164916887
556             , 0.0395548439382
558             , 0.0370273511586
560             , 0.0357103807859
562             , 0.034772387547
564             , 0.0326515823277
566             , 0.0306523062517
568             , 0.0295682867156
570             , 0.0288960822044
572             , 0.0272786608757
574             , 0.0254691988597
576             , 0.0248258833801
578             , 0.0251020165818
580             , 0.0244548528239
582             , 0.0185476248347
584             , 0.0239274190266
586             , 0.0195829818972
588             , 0.0196133171516
590             , 0.0192102819104
592             , 0.0170024897238
594             , 0.0172780723833
596             , 0.016726883679
598             , 0.0169276251572
600             , 0.015605952983
602             , 0.0150794178708
604             , 0.0141717334298
606             , 0.0138560931095
608             , 0.012680430559
610             , 0.0127035860365
612             , 0.0129791738342
614             , 0.0130105043859
616             , 0.0119526179992
618             , 0.0122655898717
620             , 0.0123544612189
622             , 0.0116284778659
624             , 0.0114873969465
626             , 0.0108244785076
628             , 0.0104464145151
630             , 0.0118542230459
632             , 0.0103133243665
634             , 0.0103743372726
636             , 0.0112284152597
638             , 0.0102525888141
640             , 0.0104495484361
