angle, 45deg , 15deg
0   , 256 , 91
5   , 259 , 69
10  , 262 , 53
15  , 266 , 46
20  , 273 , 46
25  , 280 , 55
30  , 289 , 71
35  , 299 , 98
40  , 310 , 128
45  , 320 , 167
50  , 330 , 204
55  , 340 , 255
60  , 350 , 298
65  , 357 , 347
70  , 366 , 395
75  , 369 , 440
80  , 372 , 477
85  , 374 , 514
90  , 376 , 549
95  , 374 , 555
100 , 371 , 579
105 , 366 , 583
110 , 356 , 592
115 , 345 , 583
120 , 337 , 563
125 , 327 , 536
130 , 315 , 499
135 , 310 , 466
140 , 300 , 420
145 , 288 , 384
150 , 274 , 337
155 , 268 , 290
160 , 265 , 243
165 , 260 , 197
170 , 255 , 159
175 , 253 , 122
180 , 253 , 94
185 , 255 , 70
190 , 258 , 55
195 , 263 , 47
200 , 268 , 46
