I   , U_20deg , U_30deg , U_10deg
100 , 111     , 111     , 112
90  , 93.3    , 91.9    , 94.4
80  , 75.8    , 74.5    , 77.6
70  , 59.5    , 58.4    , 61.6
65  ,         , 49.1    , 
60  , 44.0    , 41.8    , 45.2
55  , 35.7    , 33.8    , 37.2
50  , 29.1    , 27.5    , 30.4
45  , 22.1    , 20.1    , 23.0
42  , 18.0    ,         , 
40  , 15.1    , 13.5    , 16.2
38  , 11.9    ,         , 
35  , 8.14    , 7.12    , 9.76
33  , 5.5     , 3.80    , 
32  ,         ,         , 6.24
30  , 3.8     , 2.84    , 3.36
27  , 3.1     ,         , 
25  , 2.9     , 1.92    , 2.08
20  , 1.28    , 1.2     , 1.44
15  , 0.76    , 0.76    , 0.84
10  , 0.4     , 0.36    , 0.44
