vlevo_stupne , vlevo_minuty , vpravo_stupne , vpravo_minuty
14           , 39           , 346           , 29
14           , 48           , 346           , 20
15           , 45           , 345           , 22
15           , 46           , 345           , 21
15           , 47           , 345           , 20
17           , 48           , 343           , 21
19           , 45           , 341           , 20
20           , 53           , 340           , 12
21           , 0            , 340           , 8
22           , 1            , 339           , 1
22           , 14           , 338           , 51
22           , 38           , 338           , 25
24           , 22           , 336           , 39
25           , 5            , 335           , 52
