U_F_zdroj , I_F           , I_phi
0         , -1.360563E-09 , -7.087949E-10
0.1       , -9.746836E-10 , -8.333135E-10
0.2       , 4.461073E-10  , -7.856170E-10
0.3       , 3.998711E-11  , -7.227817E-10
0.4       , 8.004539E-11  , -6.800204E-10
0.5       , 3.054098E-11  , -7.911809E-10
0.6       , 6.223519E-11  , -9.243682E-10
0.7       , 4.548302E-11  , -5.889474E-10
0.8       , 1.137421E-10  , -5.945069E-10
0.9       , 1.035337E-10  , -7.310391E-10
1         , 1.766700E-10  , -8.306167E-10
1.1       , 1.340532E-10  , -7.236911E-10
1.2       , 1.365327E-10  , -6.176187E-10
1.3       , -4.113007E-10 , -7.190776E-10
1.4       , 2.505038E-10  , -7.667513E-10
1.5       , 6.258901E-11  , -6.436421E-10
1.6       , 1.144975E-10  , -8.781682E-10
1.7       , 1.792913E-10  , -7.087965E-10
1.8       , 4.519107E-10  , -7.574799E-10
1.9       , 1.675417E-09  , -8.854775E-10
2         , 7.312111E-09  , -8.252392E-10
2.1       , 3.246387E-08  , -7.768629E-10
2.2       , 1.552027E-07  , -5.194642E-10
2.3       , 1.122639E-06  , -4.048238E-10
2.4       , 1.393909E-05  , 7.651389E-09
2.5       , 9.489350E-05  , 7.177443E-08
2.6       , 2.555884E-04  , 2.015115E-07
2.7       , 4.567299E-04  , 3.587063E-07
2.8       , 6.782609E-04  , 5.247149E-07
2.9       , 9.121817E-04  , 6.938881E-07
3         , 1.154431E-03  , 8.627745E-07
3.1       , 1.402754E-03  , 1.030015E-06
3.2       , 1.655699E-03  , 1.195473E-06
3.3       , 1.912295E-03  , 1.358621E-06
3.4       , 2.171434E-03  , 1.519374E-06
3.5       , 2.433584E-03  , 1.677686E-06
3.6       , 2.697868E-03  , 1.833728E-06
3.7       , 2.963924E-03  , 1.987247E-06
3.8       , 3.231713E-03  , 2.138575E-06
3.9       , 3.500947E-03  , 2.288128E-06
4         , 3.771459E-03  , 2.435038E-06
4.1       , 4.043108E-03  , 2.579831E-06
4.2       , 4.315836E-03  , 2.722983E-06
4.3       , 4.589037E-03  , 2.638654E-06
4.4       , 4.863664E-03  , 2.768058E-06
4.5       , 5.139077E-03  , 2.893224E-06
4.6       , 5.415299E-03  , 3.021773E-06
4.7       , 5.692295E-03  , 3.145559E-06
4.8       , 5.969895E-03  , 3.254542E-06
4.9       , 6.248179E-03  , 3.347979E-06
5         , 6.527054E-03  , 3.576926E-06
5.1       , 6.805912E-03  , 3.766207E-06
5.2       , 7.085874E-03  , 3.891403E-06
5.3       , 7.366327E-03  , 4.037333E-06
5.4       , 7.647209E-03  , 4.163236E-06
5.5       , 7.928632E-03  , 4.276498E-06
5.6       , 8.210485E-03  , 4.382936E-06
5.7       , 8.492728E-03  , 4.479293E-06
5.8       , 8.775347E-03  , 4.694968E-06
5.9       , 9.058399E-03  , 4.815186E-06
6         , 9.341218E-03  , 4.940115E-06
6.1       , 9.624987E-03  , 5.055887E-06
6.2       , 9.909021E-03  , 5.171376E-06
6.3       , 1.019342E-02  , 5.282368E-06
6.4       , 1.047814E-02  , 5.391108E-06
6.5       , 1.076315E-02  , 5.499025E-06
6.6       , 1.104848E-02  , 5.601291E-06
6.7       , 1.133409E-02  , 5.705601E-06
6.8       , 1.161937E-02  , 5.790402E-06
6.9       , 1.190547E-02  , 5.970091E-06
7         , 1.219180E-02  , 6.071246E-06
7.1       , 1.247836E-02  , 6.164476E-06
7.2       , 1.276520E-02  , 6.038507E-06
7.3       , 1.305225E-02  , 6.433682E-06
7.4       , 1.333943E-02  , 6.539724E-06
7.5       , 1.362688E-02  , 6.641912E-06
7.5998    , 1.391397E-02  , 6.742442E-06
7.7       , 1.420178E-02  , 6.842627E-06
7.8       , 1.448969E-02  , 6.942174E-06
7.9       , 1.477790E-02  , 7.040799E-06
8         , 1.506624E-02  , 7.138894E-06
8.1       , 1.535479E-02  , 7.235035E-06
8.2       , 1.564351E-02  , 7.329755E-06
8.3       , 1.593234E-02  , 7.431506E-06
8.4       , 1.622134E-02  , 7.530241E-06
8.5       , 1.650950E-02  , 7.622660E-06
8.6       , 1.679862E-02  , 7.713646E-06
8.7       , 1.708800E-02  , 7.803523E-06
8.8       , 1.737748E-02  , 7.896358E-06
8.9       , 1.766711E-02  , 7.984699E-06
9         , 1.795684E-02  , 8.073660E-06
9.1       , 1.824668E-02  , 8.161501E-06
9.2       , 1.853665E-02  , 8.249344E-06
9.3       , 1.882675E-02  , 8.335414E-06
9.4       , 1.911626E-02  , 8.421782E-06
9.5       , 1.940652E-02  , 8.507711E-06
9.6       , 1.969692E-02  , 8.594003E-06
9.7       , 1.998733E-02  , 8.679197E-06
9.8       , 2.027790E-02  , 8.763497E-06
9.9       , 2.056855E-02  , 8.847644E-06
10        , 2.085921E-02  , 8.930914E-06

