U    , I
0    , 7.027862E-10
0.01 , 1.831494E-09
0.02 , -5.998120E-09
0.03 , 1.050606E-08
0.04 , 1.629815E-08
0.05 , 2.593506E-08
0.06 , 3.871475E-08
0.07 , 5.652555E-08
0.08 , 8.146955E-08
0.09 , 1.138269E-07
0.1  , 1.569289E-07
0.11 , 2.104287E-07
0.12 , 2.786493E-07
0.13 , 3.566912E-07
0.14 , 4.438437E-07
0.15 , 5.352122E-07
0.16 , 6.274439E-07
0.17 , 7.109936E-07
0.18 , 7.971055E-07
0.19 , 8.697939E-07
0.2  , 9.241051E-07
0.21 , 9.718868E-07
0.22 , 1.006783E-06
0.23 , 1.036692E-06
0.24 , 1.059033E-06
0.25 , 1.075883E-06
0.26 , 1.087518E-06
0.27 , 1.096874E-06
0.28 , 1.102862E-06
0.29 , 1.108041E-06
0.3  , 1.112405E-06
0.31 , 1.116600E-06
0.32 , 1.118657E-06
0.33 , 1.117510E-06
0.34 , 1.123056E-06
0.35 , 1.123556E-06
0.36 , 1.121054E-06
0.37 , 1.125482E-06
0.38 , 1.123818E-06
0.39 , 1.126581E-06
0.4  , 1.127208E-06
0.41 , 1.127945E-06
0.42 , 1.129616E-06
0.43 , 1.132196E-06
0.44 , 1.128864E-06
0.45 , 1.131257E-06
0.46 , 1.130017E-06
0.47 , 1.130462E-06
0.48 , 1.130157E-06
0.49 , 1.127881E-06
0.5  , 1.131129E-06
0.51 , 1.131884E-06
0.52 , 1.131899E-06
0.53 , 1.132081E-06
0.54 , 1.131892E-06
0.55 , 1.131534E-06
0.56 , 1.133473E-06
0.57 , 1.135186E-06
0.58 , 1.134087E-06
0.59 , 1.134664E-06
0.6  , 1.134677E-06
0.61 , 1.134427E-06
0.62 , 1.136025E-06
0.63 , 1.135948E-06
0.64 , 1.137008E-06
0.65 , 1.136976E-06
0.66 , 1.136921E-06
0.67 , 1.137195E-06
0.68 , 1.138832E-06
0.69 , 1.137596E-06
0.7  , 1.138087E-06
0.71 , 1.138557E-06
0.72 , 1.141047E-06
0.73 , 1.140418E-06
0.74 , 1.141143E-06
0.75 , 1.140980E-06
0.76 , 1.141131E-06
0.77 , 1.141052E-06
0.78 , 1.140759E-06
0.79 , 1.142171E-06
0.8  , 1.141331E-06
0.81 , 1.141097E-06
0.82 , 1.142268E-06
0.83 , 1.142549E-06
0.84 , 1.143587E-06
0.85 , 1.143531E-06
0.86 , 1.143858E-06
0.87 , 1.144959E-06
0.88 , 1.144553E-06
0.89 , 1.144820E-06
0.9  , 1.145093E-06
0.91 , 1.144957E-06
0.92 , 1.145367E-06
0.93 , 1.145031E-06
0.94 , 1.145870E-06
0.95 , 1.142446E-06
0.96 , 1.145165E-06
0.97 , 1.146228E-06
0.98 , 1.147621E-06
0.99 , 1.148256E-06
1    , 1.148219E-06

