U_F_zdroj , I_F           , I_phi
0         , -1.327038E-10 , 1.304257E-10
0.1       , 3.157726E-10  , 1.107035E-10
0.2       , 3.092056E-10  , 1.394637E-10
0.3       , 1.470022E-10  , 2.612682E-10
0.4       , -5.382526E-11 , 1.586587E-10
0.5       , -2.244749E-10 , 1.387760E-10
0.6       , 1.314514E-10  , 5.614593E-10
0.7       , -6.836917E-11 , 9.456337E-10
0.8       , 7.618589E-10  , 8.583723E-11
0.9       , 2.622198E-09  , 3.311976E-10
1         , 1.528595E-08  , 3.037331E-11
1.1       , 1.033164E-07  , 1.506567E-10
1.2       , 7.206265E-07  , 1.609031E-10
1.3       , 5.143659E-06  , 2.690672E-10
1.4       , 3.416643E-05  , 1.293803E-09
1.5       , 1.368243E-04  , 3.716776E-09
1.6       , 3.041783E-04  , 8.682496E-09
1.7       , 5.009267E-04  , 1.608915E-08
1.8       , 7.124667E-04  , 2.523875E-08
1.9       , 9.320166E-04  , 3.607567E-08
2         , 1.156587E-03  , 4.818403E-08
2.1       , 1.384505E-03  , 6.127505E-08
2.2       , 1.614857E-03  , 7.523766E-08
2.3       , 1.847035E-03  , 8.993035E-08
2.4       , 2.080621E-03  , 1.051853E-07
2.5       , 2.315275E-03  , 1.210115E-07
2.6       , 2.550353E-03  , 1.372572E-07
2.7       , 2.786677E-03  , 1.539375E-07
2.8       , 3.023576E-03  , 1.715228E-07
2.9       , 3.260978E-03  , 1.882198E-07
3         , 3.498870E-03  , 2.056468E-07
3.1       , 3.737129E-03  , 2.237555E-07
3.2       , 3.975761E-03  , 2.425462E-07
3.3       , 4.214676E-03  , 2.604472E-07
3.4       , 4.453355E-03  , 2.788146E-07
3.5       , 4.692796E-03  , 2.964246E-07
3.6       , 4.932433E-03  , 3.151024E-07
3.7       , 5.171768E-03  , 3.338364E-07
3.8       , 5.411854E-03  , 3.526771E-07
3.9       , 5.652003E-03  , 3.717118E-07
4         , 5.892218E-03  , 3.906696E-07
4.1       , 6.132653E-03  , 4.104772E-07
4.2       , 6.373169E-03  , 4.289341E-07
4.3       , 6.613337E-03  , 4.481588E-07
4.4       , 6.854059E-03  , 4.676683E-07
4.5       , 7.094810E-03  , 4.871866E-07
4.6       , 7.335704E-03  , 5.070455E-07
4.7       , 7.576722E-03  , 5.270489E-07
4.8       , 7.817758E-03  , 5.479635E-07
4.9       , 8.058963E-03  , 5.680384E-07
5         , 8.300272E-03  , 5.882484E-07
5.1       , 8.541197E-03  , 6.089492E-07
5.2       , 8.757518E-03  , 6.296026E-07
5.3       , 9.017564E-03  , 6.508444E-07
5.4       , 9.274807E-03  , 6.715588E-07
5.5       , 9.512169E-03  , 6.927434E-07
5.6       , 9.752146E-03  , 7.179062E-07
5.7       , 9.987672E-03  , 7.384173E-07
5.8       , 1.022871E-02  , 7.619645E-07
5.9       , 1.046985E-02  , 7.819031E-07
6         , 1.070877E-02  , 7.971925E-07
6.1       , 1.095013E-02  , 8.214753E-07
6.2       , 1.119105E-02  , 8.428208E-07
6.3       , 1.143189E-02  , 8.639283E-07
6.4       , 1.167346E-02  , 8.851381E-07
6.5       , 1.191479E-02  , 9.103825E-07
6.6       , 1.215628E-02  , 9.312667E-07
6.7       , 1.239737E-02  , 9.521012E-07
6.8       , 1.263785E-02  , 9.727695E-07
6.9       , 1.287904E-02  , 9.953839E-07
7         , 1.312001E-02  , 1.016559E-06
7.1       , 1.336108E-02  , 1.037486E-06
7.2       , 1.360061E-02  , 1.058224E-06
7.3       , 1.384011E-02  , 1.078801E-06
7.4       , 1.408063E-02  , 1.099569E-06
7.5       , 1.432232E-02  , 1.119819E-06
7.5998    , 1.456459E-02  , 1.142486E-06
7.7       , 1.480669E-02  , 1.141918E-06
7.8       , 1.504932E-02  , 1.166234E-06
7.9       , 1.529214E-02  , 1.190909E-06
8         , 1.553431E-02  , 1.203992E-06
8.1       , 1.577735E-02  , 1.233776E-06
8.2       , 1.602305E-02  , 1.259140E-06
8.3       , 1.626616E-02  , 1.278397E-06
8.4       , 1.650827E-02  , 1.298723E-06
8.5       , 1.678479E-02  , 1.320598E-06
8.6       , 1.704428E-02  , 1.342917E-06
8.7       , 1.728267E-02  , 1.366112E-06
8.8       , 1.752458E-02  , 1.387457E-06
8.9       , 1.776217E-02  , 1.409304E-06
9         , 1.800474E-02  , 1.429821E-06
9.1       , 1.827144E-02  , 1.450457E-06
9.2       , 1.852051E-02  , 1.473951E-06
9.3       , 1.879639E-02  , 1.494037E-06
9.4       , 1.903217E-02  , 1.515179E-06
9.5       , 1.927998E-02  , 1.536998E-06
9.6       , 1.952343E-02  , 1.557271E-06
9.7       , 1.976761E-02  , 1.579502E-06
9.8       , 2.001283E-02  , 1.600342E-06
9.9       , 2.025533E-02  , 1.623238E-06
10        , 2.049656E-02  , 1.644526E-06

