position , intensity
-12.001  , 9
-11.99   , 8
-11.979  , 9
-11.968  , 8
-11.957  , 9
-11.946  , 8
-11.935  , 8
-11.924  , 8
-11.913  , 8
-11.902  , 8
-11.891  , 8
-11.88   , 8
-11.869  , 8
-11.858  , 8
-11.847  , 8
-11.836  , 8
-11.825  , 8
-11.814  , 8
-11.803  , 9
-11.792  , 8
-11.781  , 8
-11.77   , 8
-11.759  , 9
-11.748  , 8
-11.737  , 9
-11.726  , 8
-11.715  , 9
-11.704  , 8
-11.693  , 8
-11.682  , 8
-11.671  , 8
-11.66   , 9
-11.649  , 8
-11.638  , 9
-11.627  , 9
-11.616  , 9
-11.605  , 9
-11.594  , 8
-11.583  , 9
-11.572  , 9
-11.561  , 9
-11.55   , 8
-11.539  , 9
-11.528  , 9
-11.517  , 9
-11.506  , 8
-11.495  , 9
-11.484  , 9
-11.473  , 9
-11.462  , 9
-11.451  , 9
-11.44   , 9
-11.429  , 9
-11.418  , 9
-11.407  , 9
-11.396  , 9
-11.385  , 9
-11.374  , 8
-11.363  , 9
-11.352  , 9
-11.341  , 9
-11.33   , 8
-11.319  , 9
-11.308  , 8
-11.297  , 9
-11.286  , 8
-11.275  , 9
-11.264  , 8
-11.253  , 8
-11.242  , 8
-11.231  , 8
-11.22   , 8
-11.209  , 8
-11.198  , 8
-11.187  , 8
-11.176  , 8
-11.165  , 8
-11.154  , 8
-11.143  , 8
-11.132  , 8
-11.121  , 8
-11.11   , 8
-11.099  , 8
-11.088  , 7
-11.077  , 8
-11.066  , 7
-11.055  , 8
-11.044  , 7
-11.033  , 8
-11.022  , 7
-11.011  , 8
-11      , 7
-10.989  , 7
-10.978  , 7
-10.967  , 7
-10.956  , 7
-10.945  , 7
-10.934  , 7
-10.923  , 7
-10.912  , 7
-10.901  , 7
-10.89   , 7
-10.879  , 7
-10.868  , 7
-10.857  , 7
-10.846  , 7
-10.835  , 7
-10.824  , 7
-10.813  , 7
-10.802  , 7
-10.791  , 7
-10.78   , 7
-10.769  , 7
-10.758  , 7
-10.747  , 7
-10.736  , 7
-10.725  , 7
-10.714  , 7
-10.703  , 7
-10.692  , 7
-10.681  , 7
-10.67   , 7
-10.659  , 7
-10.648  , 7
-10.637  , 7
-10.626  , 7
-10.615  , 7
-10.604  , 7
-10.593  , 8
-10.582  , 7
-10.571  , 8
-10.56   , 7
-10.549  , 7
-10.538  , 7
-10.527  , 7
-10.516  , 7
-10.505  , 7
-10.494  , 7
-10.483  , 8
-10.472  , 8
-10.461  , 8
-10.45   , 8
-10.439  , 7
-10.428  , 8
-10.417  , 8
-10.406  , 8
-10.395  , 8
-10.384  , 8
-10.373  , 8
-10.362  , 8
-10.351  , 8
-10.34   , 8
-10.329  , 8
-10.318  , 8
-10.307  , 8
-10.296  , 8
-10.285  , 8
-10.274  , 8
-10.263  , 8
-10.252  , 8
-10.241  , 8
-10.23   , 8
-10.219  , 8
-10.208  , 8
-10.197  , 8
-10.186  , 8
-10.175  , 8
-10.164  , 8
-10.153  , 8
-10.142  , 8
-10.131  , 9
-10.12   , 8
-10.109  , 8
-10.098  , 8
-10.087  , 8
-10.076  , 8
-10.065  , 8
-10.054  , 8
-10.043  , 8
-10.032  , 8
-10.021  , 8
-10.01   , 8
-9.999   , 8
-9.988   , 8
-9.977   , 8
-9.966   , 8
-9.955   , 8
-9.944   , 8
-9.933   , 8
-9.922   , 8
-9.911   , 8
-9.9     , 8
-9.889   , 8
-9.878   , 8
-9.867   , 8
-9.856   , 8
-9.845   , 8
-9.834   , 8
-9.823   , 8
-9.812   , 8
-9.801   , 8
-9.79    , 8
-9.779   , 8
-9.768   , 8
-9.757   , 8
-9.746   , 9
-9.735   , 8
-9.724   , 9
-9.713   , 9
-9.702   , 9
-9.691   , 9
-9.68    , 9
-9.669   , 10
-9.658   , 10
-9.647   , 10
-9.636   , 10
-9.625   , 11
-9.614   , 11
-9.603   , 12
