position , intensity
-12.001  , 7
-11.99   , 7
-11.979  , 7
-11.968  , 7
-11.957  , 7
-11.946  , 7
-11.935  , 7
-11.924  , 7
-11.913  , 7
-11.902  , 7
-11.891  , 7
-11.88   , 7
-11.869  , 7
-11.858  , 7
-11.847  , 7
-11.836  , 7
-11.825  , 7
-11.814  , 7
-11.803  , 7
-11.792  , 7
-11.781  , 7
-11.77   , 7
-11.759  , 7
-11.748  , 7
-11.737  , 7
-11.726  , 7
-11.715  , 7
-11.704  , 7
-11.693  , 8
-11.682  , 7
-11.671  , 7
-11.66   , 7
-11.649  , 7
-11.638  , 8
-11.627  , 8
-11.616  , 8
-11.605  , 8
-11.594  , 8
-11.583  , 8
-11.572  , 8
-11.561  , 8
-11.55   , 8
-11.539  , 8
-11.528  , 8
-11.517  , 8
-11.506  , 8
-11.495  , 8
-11.484  , 8
-11.473  , 9
-11.462  , 8
-11.451  , 9
-11.44   , 8
-11.429  , 9
-11.418  , 9
-11.407  , 9
-11.396  , 9
-11.385  , 9
-11.374  , 9
-11.363  , 9
-11.352  , 9
-11.341  , 9
-11.33   , 9
-11.319  , 9
-11.308  , 9
-11.297  , 9
-11.286  , 9
-11.275  , 10
-11.264  , 9
-11.253  , 10
-11.242  , 9
-11.231  , 10
-11.22   , 9
-11.209  , 10
-11.198  , 9
-11.187  , 10
-11.176  , 9
-11.165  , 10
-11.154  , 10
-11.143  , 9
-11.132  , 9
-11.121  , 9
-11.11   , 10
-11.099  , 9
-11.088  , 9
-11.077  , 9
-11.066  , 9
-11.055  , 9
-11.044  , 9
-11.033  , 9
-11.022  , 9
-11.011  , 9
-11      , 8
-10.989  , 9
-10.978  , 8
-10.967  , 9
-10.956  , 8
-10.945  , 8
-10.934  , 8
-10.923  , 8
-10.912  , 8
-10.901  , 8
-10.89   , 8
-10.879  , 8
-10.868  , 8
-10.857  , 8
-10.846  , 8
-10.835  , 8
-10.824  , 7
-10.813  , 8
-10.802  , 7
-10.791  , 7
-10.78   , 7
-10.769  , 8
-10.758  , 7
-10.747  , 8
-10.736  , 7
-10.725  , 8
-10.714  , 8
-10.703  , 8
-10.692  , 8
-10.681  , 8
-10.67   , 8
-10.659  , 8
-10.648  , 8
-10.637  , 8
-10.626  , 9
-10.615  , 8
-10.604  , 9
-10.593  , 9
-10.582  , 9
-10.571  , 9
-10.56   , 9
-10.549  , 10
-10.538  , 9
-10.527  , 10
-10.516  , 10
-10.505  , 10
-10.494  , 10
-10.483  , 10
-10.472  , 10
-10.461  , 11
-10.45   , 11
-10.439  , 11
-10.428  , 11
-10.417  , 11
-10.406  , 11
-10.395  , 11
-10.384  , 11
-10.373  , 11
-10.362  , 11
-10.351  , 12
-10.34   , 11
-10.329  , 12
-10.318  , 11
-10.307  , 12
-10.296  , 11
-10.285  , 12
-10.274  , 11
-10.263  , 12
-10.252  , 11
-10.241  , 12
-10.23   , 12
-10.219  , 12
-10.208  , 11
-10.197  , 12
-10.186  , 11
-10.175  , 11
-10.164  , 11
-10.153  , 11
-10.142  , 11
-10.131  , 11
-10.12   , 11
-10.109  , 11
-10.098  , 11
-10.087  , 11
-10.076  , 10
-10.065  , 11
-10.054  , 10
-10.043  , 11
-10.032  , 10
-10.021  , 10
-10.01   , 10
-9.999   , 10
-9.988   , 9
-9.977   , 9
-9.966   , 9
-9.955   , 9
-9.944   , 9
-9.933   , 9
-9.922   , 9
-9.911   , 9
-9.9     , 8
-9.889   , 8
-9.878   , 8
-9.867   , 8
-9.856   , 8
-9.845   , 8
-9.834   , 8
-9.823   , 8
-9.812   , 7
-9.801   , 8
-9.79    , 7
-9.779   , 8
-9.768   , 7
-9.757   , 7
-9.746   , 7
-9.735   , 7
-9.724   , 7
-9.713   , 7
-9.702   , 7
-9.691   , 7
-9.68    , 7
-9.669   , 7
-9.658   , 7
-9.647   , 7
-9.636   , 7
-9.625   , 7
-9.614   , 7
-9.603   , 7
-9.592   , 7
-9.581   , 7
-9.57    , 7
-9.559   , 7
-9.548   , 7
-9.537   , 7
-9.526   , 7
-9.515   , 7
-9.504   , 7
-9.493   , 7
-9.482   , 7
-9.471   , 7
-9.46    , 7
-9.449   , 7
-9.438   , 7
-9.427   , 7
-9.416   , 7
-9.405   , 7
-9.394   , 7
-9.383   , 7
-9.372   , 7
-9.361   , 7
-9.35    , 7
-9.339   , 7
-9.328   , 7
-9.317   , 7
-9.306   , 7
-9.295   , 7
-9.284   , 7
-9.273   , 7
-9.262   , 7
-9.251   , 7
-9.24    , 7
-9.229   , 7
-9.218   , 7
-9.207   , 7
-9.196   , 7
-9.185   , 7
-9.174   , 7
-9.163   , 7
-9.152   , 7
-9.141   , 7
-9.13    , 7
-9.119   , 7
-9.108   , 7
-9.097   , 7
-9.086   , 7
-9.075   , 7
-9.064   , 7
-9.053   , 7
-9.042   , 7
-9.031   , 7
-9.02    , 7
-9.009   , 7
-8.998   , 7
-8.987   , 7
-8.976   , 7
-8.965   , 7
-8.954   , 7
-8.943   , 7
-8.932   , 7
-8.921   , 7
-8.91    , 7
-8.899   , 7
-8.888   , 7
-8.877   , 7
-8.866   , 7
-8.855   , 7
-8.844   , 7
-8.833   , 7
-8.822   , 7
-8.811   , 7
-8.8     , 7
-8.789   , 7
-8.778   , 7
-8.767   , 7
-8.756   , 7
-8.745   , 7
-8.734   , 7
-8.723   , 7
-8.712   , 7
-8.701   , 7
-8.69    , 7
-8.679   , 7
-8.668   , 7
-8.657   , 7
-8.646   , 7
-8.635   , 7
-8.624   , 7
-8.613   , 8
-8.602   , 7
-8.591   , 8
-8.58    , 7
-8.569   , 7
-8.558   , 8
-8.547   , 8
-8.536   , 8
-8.525   , 8
-8.514   , 8
-8.503   , 8
-8.492   , 8
-8.481   , 8
-8.47    , 8
-8.459   , 9
-8.448   , 9
-8.437   , 9
-8.426   , 9
-8.415   , 9
-8.404   , 9
-8.393   , 10
-8.382   , 10
-8.371   , 10
-8.36    , 10
-8.349   , 11
-8.338   , 11
-8.327   , 11
-8.316   , 11
-8.305   , 11
-8.294   , 12
-8.283   , 12
-8.272   , 12
-8.261   , 12
-8.25    , 12
-8.239   , 12
-8.228   , 13
-8.217   , 13
-8.206   , 13
-8.195   , 13
-8.184   , 13
-8.173   , 13
-8.162   , 13
-8.151   , 14
-8.14    , 13
-8.129   , 14
-8.118   , 13
-8.107   , 14
-8.096   , 13
-8.085   , 14
-8.074   , 13
-8.063   , 13
-8.052   , 13
-8.041   , 13
-8.03    , 13
-8.019   , 13
-8.008   , 13
-7.997   , 13
-7.986   , 12
-7.975   , 12
-7.964   , 12
-7.953   , 12
-7.942   , 12
-7.931   , 12
-7.92    , 11
-7.909   , 12
-7.898   , 11
-7.887   , 11
-7.876   , 10
-7.865   , 11
-7.854   , 10
-7.843   , 10
-7.832   , 10
-7.821   , 10
-7.81    , 10
-7.799   , 9
-7.788   , 9
-7.777   , 9
-7.766   , 9
-7.755   , 9
-7.744   , 9
-7.733   , 9
-7.722   , 9
-7.711   , 9
-7.7     , 9
-7.689   , 9
-7.678   , 9
-7.667   , 9
-7.656   , 8
-7.645   , 9
-7.634   , 9
-7.623   , 9
-7.612   , 9
-7.601   , 9
-7.59    , 9
-7.579   , 9
-7.568   , 9
-7.557   , 9
-7.546   , 9
-7.535   , 9
-7.524   , 9
-7.513   , 10
-7.502   , 10
-7.491   , 10
-7.48    , 10
-7.469   , 11
-7.458   , 11
-7.447   , 11
-7.436   , 11
-7.425   , 12
-7.414   , 12
-7.403   , 12
-7.392   , 12
-7.381   , 13
-7.37    , 13
-7.359   , 13
-7.348   , 14
-7.337   , 14
-7.326   , 14
-7.315   , 14
-7.304   , 15
-7.293   , 15
-7.282   , 15
-7.271   , 15
-7.26    , 16
-7.249   , 16
-7.238   , 16
-7.227   , 17
-7.216   , 17
-7.205   , 17
-7.194   , 17
-7.183   , 18
-7.172   , 17
-7.161   , 18
-7.15    , 18
-7.139   , 18
-7.128   , 18
-7.117   , 18
-7.106   , 18
-7.095   , 18
-7.084   , 18
-7.073   , 17
-7.062   , 17
-7.051   , 17
-7.04    , 17
-7.029   , 17
-7.018   , 16
-7.007   , 16
-6.996   , 15
-6.985   , 16
-6.974   , 15
-6.963   , 15
-6.952   , 14
-6.941   , 14
-6.93    , 14
-6.919   , 13
-6.908   , 13
-6.897   , 13
-6.886   , 12
-6.875   , 12
-6.864   , 12
-6.853   , 11
-6.842   , 11
-6.831   , 11
-6.82    , 10
-6.809   , 10
-6.798   , 10
-6.787   , 10
-6.776   , 9
-6.765   , 9
-6.754   , 9
-6.743   , 9
-6.732   , 8
-6.721   , 9
-6.71    , 8
-6.699   , 8
-6.688   , 8
-6.677   , 8
-6.666   , 8
-6.655   , 8
-6.644   , 8
-6.633   , 8
-6.622   , 8
-6.611   , 8
-6.6     , 8
-6.589   , 8
-6.578   , 8
-6.567   , 8
-6.556   , 7
-6.545   , 8
-6.534   , 7
-6.523   , 8
-6.512   , 7
-6.501   , 8
-6.49    , 8
-6.479   , 8
-6.468   , 7
-6.457   , 8
-6.446   , 8
-6.435   , 8
-6.424   , 8
-6.413   , 8
-6.402   , 8
-6.391   , 8
-6.38    , 8
-6.369   , 8
-6.358   , 8
-6.347   , 8
-6.336   , 8
-6.325   , 8
-6.314   , 8
-6.303   , 8
-6.292   , 8
-6.281   , 8
-6.27    , 8
-6.259   , 8
-6.248   , 8
-6.237   , 8
-6.226   , 8
-6.215   , 8
-6.204   , 8
-6.193   , 8
-6.182   , 8
-6.171   , 8
-6.16    , 8
-6.149   , 8
-6.138   , 8
-6.127   , 8
-6.116   , 8
-6.105   , 8
-6.094   , 8
-6.083   , 8
-6.072   , 7
-6.061   , 8
-6.05    , 7
-6.039   , 8
-6.028   , 7
-6.017   , 8
-6.006   , 7
-5.995   , 8
-5.984   , 7
-5.973   , 8
-5.962   , 8
-5.951   , 8
-5.94    , 8
-5.929   , 8
-5.918   , 8
-5.907   , 8
-5.896   , 8
-5.885   , 8
-5.874   , 8
-5.863   , 8
-5.852   , 8
-5.841   , 8
-5.83    , 8
-5.819   , 8
-5.808   , 7
-5.797   , 8
-5.786   , 8
-5.775   , 8
-5.764   , 7
-5.753   , 8
-5.742   , 8
-5.731   , 8
-5.72    , 8
-5.709   , 8
-5.698   , 8
-5.687   , 8
-5.676   , 8
-5.665   , 8
-5.654   , 8
-5.643   , 8
-5.632   , 8
-5.621   , 8
-5.61    , 8
-5.599   , 8
-5.588   , 8
-5.577   , 9
-5.566   , 8
-5.555   , 9
-5.544   , 9
-5.533   , 9
-5.522   , 9
-5.511   , 10
-5.5     , 10
-5.489   , 10
-5.478   , 10
-5.467   , 10
-5.456   , 11
-5.445   , 11
-5.434   , 12
-5.423   , 12
-5.412   , 12
-5.401   , 12
-5.39    , 13
-5.379   , 13
-5.368   , 14
-5.357   , 14
-5.346   , 15
-5.335   , 15
-5.324   , 15
-5.313   , 16
-5.302   , 16
-5.291   , 17
-5.28    , 17
-5.269   , 18
-5.258   , 18
-5.247   , 18
-5.236   , 18
-5.225   , 19
-5.214   , 20
-5.203   , 20
-5.192   , 20
-5.181   , 21
-5.17    , 21
-5.159   , 22
-5.148   , 22
-5.137   , 23
-5.126   , 23
-5.115   , 24
-5.104   , 24
-5.093   , 25
-5.082   , 25
-5.071   , 26
-5.06    , 25
-5.049   , 26
-5.038   , 26
-5.027   , 27
-5.016   , 27
-5.005   , 27
-4.994   , 27
-4.983   , 27
-4.972   , 27
-4.961   , 27
-4.95    , 28
-4.939   , 27
-4.928   , 27
-4.917   , 27
-4.906   , 27
-4.895   , 27
-4.884   , 27
-4.873   , 27
-4.862   , 26
-4.851   , 27
-4.84    , 25
-4.829   , 26
-4.818   , 25
-4.807   , 25
-4.796   , 24
-4.785   , 24
-4.774   , 23
-4.763   , 23
-4.752   , 22
-4.741   , 22
-4.73    , 21
-4.719   , 20
-4.708   , 20
-4.697   , 19
-4.686   , 18
-4.675   , 18
-4.664   , 17
-4.653   , 17
