position , intensity
-12.9998 , 7
-12.9888 , 7
-12.9778 , 7
-12.9668 , 7
-12.9558 , 7
-12.9448 , 7
-12.9338 , 6
-12.9228 , 7
-12.9118 , 7
-12.9008 , 7
-12.8898 , 7
-12.8788 , 6
-12.8678 , 7
-12.8568 , 7
-12.8458 , 7
-12.8348 , 6
-12.8238 , 7
-12.8128 , 6
-12.8018 , 7
-12.7908 , 6
-12.7798 , 7
-12.7688 , 6
-12.7578 , 7
-12.7468 , 6
-12.7358 , 7
-12.7248 , 7
-12.7138 , 7
-12.7028 , 7
-12.6918 , 7
-12.6808 , 7
-12.6698 , 7
-12.6588 , 7
-12.6478 , 7
-12.6368 , 7
-12.6258 , 7
-12.6148 , 6
-12.6038 , 7
-12.5928 , 6
-12.5818 , 7
-12.5708 , 6
-12.5598 , 7
-12.5488 , 6
-12.5378 , 7
-12.5268 , 6
-12.5158 , 7
-12.5048 , 7
-12.4938 , 7
-12.4828 , 7
-12.4718 , 6
-12.4608 , 7
-12.4498 , 6
-12.4388 , 6
-12.4278 , 7
-12.4168 , 6
-12.4058 , 7
-12.3948 , 6
-12.3838 , 7
-12.3728 , 6
-12.3618 , 7
-12.3508 , 6
-12.3398 , 7
-12.3288 , 6
-12.3178 , 7
-12.3068 , 6
-12.2958 , 7
-12.2848 , 6
-12.2738 , 7
-12.2628 , 6
-12.2518 , 6
-12.2408 , 7
-12.2298 , 6
-12.2188 , 6
-12.2078 , 6
-12.1968 , 7
-12.1858 , 7
-12.1748 , 6
-12.1638 , 7
-12.1528 , 7
-12.1418 , 7
-12.1308 , 6
-12.1198 , 7
-12.1088 , 6
-12.0978 , 7
-12.0868 , 9
-12.0758 , 7
-12.0648 , 6
-12.0538 , 7
-12.0428 , 6
-12.0318 , 7
-12.0208 , 7
-12.0098 , 7
-11.9988 , 6
-11.9878 , 7
-11.9768 , 7
-11.9658 , 7
-11.9548 , 7
-11.9438 , 7
-11.9328 , 7
-11.9218 , 7
-11.9108 , 6
-11.8998 , 7
-11.8888 , 6
-11.8778 , 7
-11.8668 , 6
-11.8558 , 7
-11.8448 , 7
-11.8338 , 7
-11.8228 , 6
-11.8118 , 7
