position , intensity
-12.9998 , 9
-12.9888 , 8
-12.9778 , 8
-12.9668 , 8
-12.9558 , 8
-12.9448 , 8
-12.9338 , 8
-12.9228 , 8
-12.9118 , 8
-12.9008 , 8
-12.8898 , 8
-12.8788 , 8
-12.8678 , 8
-12.8568 , 8
-12.8458 , 8
-12.8348 , 8
-12.8238 , 8
-12.8128 , 8
-12.8018 , 8
-12.7908 , 8
-12.7798 , 8
-12.7688 , 8
-12.7578 , 8
-12.7468 , 8
-12.7358 , 8
-12.7248 , 8
-12.7138 , 8
-12.7028 , 8
-12.6918 , 8
-12.6808 , 8
-12.6698 , 8
-12.6588 , 8
-12.6478 , 8
-12.6368 , 8
-12.6258 , 8
-12.6148 , 8
-12.6038 , 8
-12.5928 , 8
-12.5818 , 8
-12.5708 , 8
-12.5598 , 8
-12.5488 , 8
-12.5378 , 8
-12.5268 , 8
-12.5158 , 8
-12.5048 , 8
-12.4938 , 8
-12.4828 , 8
-12.4718 , 8
-12.4608 , 8
-12.4498 , 8
-12.4388 , 8
-12.4278 , 8
-12.4168 , 8
-12.4058 , 8
-12.3948 , 8
-12.3838 , 8
-12.3728 , 7
-12.3618 , 8
-12.3508 , 7
-12.3398 , 8
-12.3288 , 7
-12.3178 , 8
-12.3068 , 8
-12.2958 , 8
-12.2848 , 8
-12.2738 , 8
-12.2628 , 8
-12.2518 , 7
-12.2408 , 7
-12.2298 , 7
-12.2188 , 8
-12.2078 , 7
-12.1968 , 8
-12.1858 , 7
-12.1748 , 7
-12.1638 , 7
-12.1528 , 7
-12.1418 , 8
-12.1308 , 7
-12.1198 , 8
-12.1088 , 7
-12.0978 , 8
-12.0868 , 7
-12.0758 , 7
-12.0648 , 7
-12.0538 , 7
-12.0428 , 7
-12.0318 , 7
-12.0208 , 7
-12.0098 , 7
-11.9988 , 7
-11.9878 , 7
-11.9768 , 7
-11.9658 , 7
-11.9548 , 7
-11.9438 , 7
-11.9328 , 7
-11.9218 , 7
-11.9108 , 7
-11.8998 , 7
-11.8888 , 7
-11.8778 , 7
-11.8668 , 7
-11.8558 , 7
-11.8448 , 7
-11.8338 , 7
-11.8228 , 7
-11.8118 , 7
-11.8008 , 7
-11.7898 , 7
-11.7788 , 7
-11.7678 , 7
-11.7568 , 7
-11.7458 , 7
-11.7348 , 7
-11.7238 , 7
-11.7128 , 7
-11.7018 , 7
-11.6908 , 7
-11.6798 , 7
-11.6688 , 7
-11.6578 , 7
-11.6468 , 7
-11.6358 , 7
-11.6248 , 7
-11.6138 , 7
-11.6028 , 7
-11.5918 , 7
-11.5808 , 7
-11.5698 , 7
-11.5588 , 7
-11.5478 , 7
-11.5368 , 7
-11.5258 , 7
-11.5148 , 7
-11.5038 , 7
-11.4928 , 7
-11.4818 , 7
-11.4708 , 7
-11.4598 , 7
-11.4488 , 7
-11.4378 , 7
-11.4268 , 7
-11.4158 , 7
-11.4048 , 7
-11.3938 , 7
-11.3828 , 7
-11.3718 , 7
-11.3608 , 7
-11.3498 , 7
-11.3388 , 7
-11.3278 , 7
-11.3168 , 7
-11.3058 , 7
-11.2948 , 7
-11.2838 , 7
-11.2728 , 7
-11.2618 , 7
-11.2508 , 7
-11.2398 , 7
-11.2288 , 7
-11.2178 , 7
-11.2068 , 7
-11.1958 , 7
-11.1848 , 7
-11.1738 , 7
-11.1628 , 7
-11.1518 , 7
-11.1408 , 7
-11.1298 , 7
-11.1188 , 7
-11.1078 , 7
-11.0968 , 7
-11.0858 , 7
-11.0748 , 7
-11.0638 , 7
-11.0528 , 7
-11.0418 , 7
-11.0308 , 7
-11.0198 , 7
-11.0088 , 7
-10.9978 , 7
-10.9868 , 7
-10.9758 , 7
-10.9648 , 6
-10.9538 , 7
-10.9428 , 7
-10.9318 , 7
-10.9208 , 6
-10.9098 , 7
-10.8988 , 7
-10.8878 , 7
-10.8768 , 7
-10.8658 , 7
-10.8548 , 7
-10.8438 , 7
-10.8328 , 7
-10.8218 , 7
-10.8108 , 7
-10.7998 , 7
-10.7888 , 7
-10.7778 , 7
-10.7668 , 7
-10.7558 , 7
-10.7448 , 7
-10.7338 , 7
-10.7228 , 7
-10.7118 , 7
-10.7008 , 7
-10.6898 , 7
-10.6788 , 7
-10.6678 , 7
-10.6568 , 7
-10.6458 , 7
-10.6348 , 7
-10.6238 , 7
-10.6128 , 7
-10.6018 , 7
-10.5908 , 7
-10.5798 , 7
-10.5688 , 7
-10.5578 , 7
-10.5468 , 7
-10.5358 , 7
-10.5248 , 7
-10.5138 , 7
-10.5028 , 7
-10.4918 , 7
-10.4808 , 7
-10.4698 , 7
-10.4588 , 7
-10.4478 , 7
-10.4368 , 7
-10.4258 , 7
-10.4148 , 7
-10.4038 , 7
-10.3928 , 7
-10.3818 , 7
-10.3708 , 7
-10.3598 , 7
-10.3488 , 7
-10.3378 , 7
-10.3268 , 7
-10.3158 , 7
-10.3048 , 7
-10.2938 , 7
-10.2828 , 7
-10.2718 , 7
-10.2608 , 7
-10.2498 , 8
-10.2388 , 7
-10.2278 , 7
-10.2168 , 7
-10.2058 , 8
-10.1948 , 7
-10.1838 , 8
-10.1728 , 7
-10.1618 , 8
-10.1508 , 8
-10.1398 , 7
-10.1288 , 8
-10.1178 , 8
-10.1068 , 8
-10.0958 , 8
-10.0848 , 8
-10.0738 , 8
-10.0628 , 8
-10.0518 , 8
-10.0408 , 8
-10.0298 , 8
-10.0188 , 8
-10.0078 , 8
-9.9968  , 8
-9.9858  , 8
-9.9748  , 8
-9.9638  , 8
-9.9528  , 8
-9.9418  , 8
-9.9308  , 8
-9.9198  , 8
-9.9088  , 8
-9.8978  , 8
-9.8868  , 8
-9.8758  , 8
-9.8648  , 8
-9.8538  , 8
-9.8428  , 8
-9.8318  , 8
-9.8208  , 8
-9.8098  , 9
-9.7988  , 8
-9.7878  , 9
-9.7768  , 8
-9.7658  , 9
-9.7548  , 8
-9.7438  , 9
-9.7328  , 8
-9.7218  , 9
-9.7108  , 9
-9.6998  , 9
-9.6888  , 9
-9.6778  , 9
-9.6668  , 9
-9.6558  , 9
-9.6448  , 9
-9.6338  , 9
-9.6228  , 9
-9.6118  , 9
-9.6008  , 9
-9.5898  , 9
-9.5788  , 9
-9.5678  , 9
-9.5568  , 9
-9.5458  , 10
-9.5348  , 9
-9.5238  , 10
-9.5128  , 9
-9.5018  , 10
-9.4908  , 9
-9.4798  , 10
-9.4688  , 9
-9.4578  , 10
-9.4468  , 10
-9.4358  , 10
-9.4248  , 10
-9.4138  , 10
-9.4028  , 10
-9.3918  , 10
-9.3808  , 10
-9.3698  , 10
-9.3588  , 10
-9.3478  , 10
-9.3368  , 10
-9.3258  , 10
-9.3148  , 10
-9.3038  , 11
-9.2928  , 10
-9.2818  , 11
-9.2708  , 10
-9.2598  , 11
-9.2488  , 10
-9.2378  , 11
-9.2268  , 11
-9.2158  , 11
-9.2048  , 11
-9.1938  , 11
-9.1828  , 11
-9.1718  , 11
-9.1608  , 11
-9.1498  , 11
-9.1388  , 11
-9.1278  , 11
-9.1168  , 11
-9.1058  , 11
-9.0948  , 11
-9.0838  , 11
-9.0728  , 11
-9.0618  , 11
-9.0508  , 11
-9.0398  , 11
-9.0288  , 11
-9.0178  , 11
-9.0068  , 11
-8.9958  , 11
-8.9848  , 11
-8.9738  , 11
-8.9628  , 11
-8.9518  , 11
-8.9408  , 11
-8.9298  , 11
-8.9188  , 11
